景区名称,总得分,服务得分,位置得分,设施得分,卫生得分,性价比得分
A01,4.4,3.8,4.9,4.9,4.5,4.5
A02,4.2,3.8,4.9,4.2,4.5,4.0
A03,4.2,3.9,4.2,4.1,4.5,4.5
A04,4.2,3.8,4.0,4.0,4.5,4.5
A05,4.2,3.9,4.9,4.0,4.5,4.2
A06,4.5,4.3,4.7,4.0,4.9,4.6
A07,4.4,3.9,4.9,4.0,4.9,4.4
A08,4.2,3.8,4.9,4.9,4.0,4.5
A09,4.3,3.9,4.9,4.5,4.5,4.4
A10,4.3,3.8,4.0,4.2,4.9,4.5
A11,4.1,3.9,4.9,4.0,4.0,4.2
A12,4.5,4.0,4.9,4.9,4.9,4.0
A13,4.5,4.5,4.9,4.5,4.5,4.5
A14,4.4,3.9,4.2,4.5,4.9,4.5
A15,4.4,3.9,4.9,4.5,4.9,4.0
A16,4.5,3.9,4.9,4.5,4.9,4.8
A17,4.5,3.9,4.9,4.9,4.9,4.5
A18,4.3,3.9,4.0,4.5,4.5,4.9
A19,4.3,3.9,4.9,4.0,4.5,4.4
A20,4.4,3.9,4.9,4.0,4.9,4.5
A21,4.6,4.0,4.9,4.5,4.9,4.8
A22,4.4,3.8,4.9,4.5,4.9,4.2
A23,4.8,4.9,4.9,4.9,4.9,4.0
A24,4.3,3.9,4.9,4.0,4.2,4.9
A25,4.5,4.3,4.9,4.0,4.5,4.8
A26,4.5,3.9,4.9,4.5,4.9,4.5
A27,4.2,3.8,4.9,4.0,4.2,4.5
A28,4.4,4.0,4.0,4.5,4.9,4.5
A29,4.4,3.9,4.9,4.5,4.9,4.0
A30,4.5,3.9,4.9,4.0,4.9,4.9
A31,4.3,3.9,4.0,4.5,4.5,4.5
A32,4.3,4.0,4.9,4.9,4.2,4.4
A33,4.5,3.9,4.9,4.5,4.9,4.5
A34,4.4,3.9,4.9,4.5,4.9,4.2
A35,4.6,4.0,4.9,4.9,4.9,4.5
A36,4.6,3.9,4.9,4.9,4.9,4.8
A37,4.7,4.9,4.9,4.9,4.2,4.8
A38,4.8,4.9,4.9,4.5,4.9,4.9
A39,4.9,4.9,4.9,4.9,4.9,4.8
A40,4.6,4.0,4.9,4.9,4.9,4.9
A41,4.3,4.0,4.2,4.1,4.5,4.5
A42,4.3,4.0,4.9,4.9,4.0,4.8
A43,4.3,3.9,4.9,4.0,4.5,4.5
A44,4.6,3.9,4.9,4.9,4.9,4.9
A45,4.6,3.9,4.9,4.9,4.9,4.6
A46,4.5,3.9,4.9,4.5,4.9,4.4
A47,4.4,3.8,4.9,4.0,4.9,4.5
A48,4.6,4.2,4.9,4.2,4.9,4.8
A49,4.6,3.9,4.9,4.9,4.9,4.9
A50,4.6,3.9,4.9,4.9,4.9,4.8
